id,lon,lat,Panorama_ID,route_1,route_1_seq,route_2,route_2_seq,route_3,route_3_seq,INDEX_THERMAL,INDEX_BUILT ENVIRONMENT,INDEX_FAMILIARITY,INDEX_PROXIMITY,thermal_comfort,greenery_rate,seg_sky,shading_area,human_scale,Street furniture,seg_sidewalk,CCTV coverage,Lighting,Maintenance & cleanliness,Presence of other people,Street vendors seating,Shops,Street vendors,dist_to_city_hall,dist_to_bank,dist_to_healthcare,dist_to_education,dist_to_police,dist_to_hospital,Traffic_low_evening,Traffic_high_evening,Traffic_low_morning,Traffic_high_morning,DIST_EMERGENCY,DIST_CAREGIVING,DIST_BUREAROCRATIC
662,106.7482157,-6.1646607,street_view_collage_662,,,,,,,0.24,0.21,0.33,0.58,0.24,0.19,0.5,0.55,0.19,0.0,0.14,0.0,0.29,0.0,0.2,0.0,0.6,0.0,0.74,0.24,0.87,0.8,0.57,0.25,1.0,0.0,1.0,0.0,0.41,0.84,0.49
663,106.7457506,-6.1835389,street_view_collage_663,,,,,,,0.31,0.27,0.25,0.54,0.31,0.21,0.34,0.61,0.25,0.0,0.13,0.0,0.43,0.5,0.0,0.0,0.0,0.0,0.62,0.3,0.3,0.55,0.75,0.72,1.0,0.0,1.0,0.0,0.74,0.43,0.46
664,106.7413064,-6.1766451,street_view_collage_664,,,,,,,0.39,0.34,0.27,0.54,0.39,0.43,0.68,0.32,0.47,0.0,0.0,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.58,0.31,0.15,0.85,0.67,0.71,1.0,0.0,1.0,0.0,0.69,0.5,0.44
665,106.7396519,-6.1655103,street_view_collage_665,,,route_2,19.0,,,0.42,0.31,0.29,0.58,0.42,0.4,0.5,0.6,0.43,0.0,0.03,0.0,0.29,0.5,0.0,0.0,0.2,0.0,0.82,0.63,0.41,0.79,0.45,0.38,1.0,0.0,1.0,0.0,0.42,0.6,0.72
666,106.736171,-6.1782573,street_view_collage_666,,,,,,,0.55,0.33,0.3,0.62,0.55,0.62,0.45,0.51,0.66,0.0,0.1,0.0,0.14,0.5,0.0,0.0,0.0,0.0,0.84,0.26,0.55,0.76,0.51,0.81,1.0,0.0,1.0,0.0,0.66,0.66,0.55
667,106.7392756,-6.169135,street_view_collage_667,,,,,,,0.04,0.13,0.27,0.48,0.04,0.47,0.27,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.26,0.24,0.53,0.53,0.5,1.0,0.0,1.0,0.0,0.52,0.38,0.53
668,106.7483327,-6.1623118,street_view_collage_668,,,,,,,0.36,0.21,0.48,0.56,0.36,0.34,0.18,0.87,0.42,0.0,0.06,0.0,0.0,0.0,0.75,0.0,0.3,0.83,0.53,0.28,0.88,0.87,0.6,0.18,1.0,0.0,1.0,0.0,0.39,0.88,0.4
669,106.745671,-6.1746416,street_view_collage_669,,,,,,,0.48,0.3,0.29,0.72,0.48,0.59,0.35,0.61,0.61,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.79,0.71,0.65,0.76,0.84,0.57,1.0,0.0,1.0,0.0,0.7,0.7,0.75
67,106.732864,-6.1716078,street_view_collage_67,route_1,7.0,,,,,0.34,0.27,0.29,0.53,0.34,0.32,0.53,0.63,0.35,0.0,0.29,0.0,0.29,0.0,0.15,0.0,0.1,0.0,0.67,0.35,0.63,0.59,0.33,0.59,1.0,0.0,1.0,0.0,0.46,0.61,0.51
670,106.7393272,-6.1728124,street_view_collage_670,,,,,,,0.42,0.47,0.29,0.42,0.42,0.52,0.67,0.24,0.54,0.33,0.03,0.5,0.86,0.5,0.05,0.0,0.0,0.0,0.4,0.13,0.31,0.5,0.58,0.62,1.0,0.0,1.0,0.0,0.6,0.4,0.26
